source,target,language_pair,legal_category,legal_entity
"""bloodmeal"" in point 6 of Annex I; and","""Blutmehl"" gemäß Anhang I Ziffer 6;",en-de,Administrative Law,
QUALIFICATION FOR SUBSIDIARY PROTECTION,VORAUSSETZUNGEN FÜR DEN ANSPRUCH AUF SUBSIDIÄREN SCHUTZ,en-de,Legal Theory & Latin Terms,subsidiary
"The amount of the technical reserves shall be determined by the different co-insurers according to the rules fixed by the Member State where they are established or, in the absence of such rules, according to customary practice in that State.","Die Höhe der technischen Reserven wird von den einzelnen Mitversicherern nach den Vorschriften des Staates, in dem sie niedergelassen sind, oder mangels derartiger Vorschriften nach der in diesem Staat angewandten Praxis festgelegt.",en-de,Immigration & Naturalization Law,"member, rules, practice, state"
Quantified description of the current situation,Quantifizierte Beschreibung der derzeitigen Lage,en-de,Administrative Law,
"Regulation (EC) No 2791/1999 should therefore be amended,",Die Verordnung (EG) Nr. 2791/1999 ist daher zu än dern -,en-de,Administrative Law,regulation
country of destination;,Bestimmungsland,en-de,Administrative Law,
The renewal of the financial contributions for actions 16 and 17 to eligible organisations that in the preceding year have proved actively and effectively to represent consumer interests shall not be subject to the rule of gradual decrease.,"Die erneute Gewährung finanzieller Beiträge zu den Maßnahmen 16 und 17 für förderfähige Organisationen, die nachgewiesen haben, dass sie im Vorjahr aktiv und effektiv die Interessen der Verbraucher vertreten haben, unterliegt nicht dem Grundsatz der allmählichen Verringerung.",en-de,Contract Law,"renewal, rule, represent"
"Officials of the Member State concerned shall, at the request of the Agency, assist the authorised persons in carrying out their duties.",Bedienstete des betreffenden Mitgliedstaats unterstützen auf Antrag der Agentur die bevollmächtigten Personen bei der Durchführung ihrer Aufgaben.,en-de,Administrative Law,"member, request, agency, state"
"Since the objectives of the proposed action, namely, the protection of one design right for one area encompassing all the Member States, cannot be sufficiently achieved by the Member States by reason of the scale and the effects of the creation of a Community design and a Community design authority and can therefore, and can therefore be better achieved at Community level, the Community may adopt measures, in accordance with the principle of subsidiarity as set out in Article 5 of the Treaty.","Da die Ziele der beabsichtigten Aktion, nämlich insbesondere der Schutz eines Geschmacksmusters in einem einzigen Gebiet, das alle Mitgliedstaaten umfasst, auf Ebene der Mitgliedstaaten nicht ausreichend erreicht werden können und daher wegen des Umfangs und der Wirkungen der Schaffung eines gemeinschaftlichen Geschmacksmusters und einer entsprechenden Gemeinschaftsbehörde besser auf Gemeinschaftsebene zu verwirklichen sind, kann die Gemeinschaft im Einklang mit dem in Artikel 5 des Vertrags niedergelegten Subsidiaritätsprinzip tätig werden.",en-de,Administrative Law,"treaty, authority, adopt, member, article, right, set"
"In the event of a staff member's death, the Foundation shall bear the costs involved in transporting the body to his place or origin.","Beim Tode eines Bediensteten übernimmt die Stiftung die Kosten, die für die Überführung bis zur Herkunftsort notwendig sind.",en-de,Evidence Law,"member, costs, death, foundation"
specific additional requirements for the labelling of the feed additive necessary as a result of conditions and restrictions imposed under (c);,"spezifische zusätzliche Anforderungen hinsichtlich der Kennzeichnung des Futtermittelzusatzstoffes, die aufgrund der Bedingungen und Einschränkungen gemäß Buchstabe c) erforderlich sind;",en-de,Legal Theory & Latin Terms,
determining which of the port facilities located within the territory of a Contracting Government are required to designate a PFSO and to prepare a PFSP;,"die Entscheidung darüber, welche im Hoheitsgebiet einer Vertragsregierung liegenden Hafenanlagen einen Beauftragten für die Gefahrenabwehr in der Hafenanlage ernennen und einen Plan zur Gefahrenabwehr in der Hafenanlage erstellen müssen;",en-de,Contract Law,government
There may be circumstances in which entry into port could be denied.,Unter bestimmten Umständen kann die Einfahrt in den Hafen verweigert werden.,en-de,Administrative Law,entry
"the extent to which the full benefits of the opening of the market are accruing to small enterprises and households, notably with respect to public service standards;","die Frage, inwieweit der volle Nutzen der Marktöffnung Kleinunternehmen und Privathaushalten zugute kommt, insbesondere im Hinblick auf die Qualitätsstandards der gemeinwirtschaftlichen Leistungen,",en-de,Legal Theory & Latin Terms,"public, service"
Definitions for the Control Card:,Definitionen für die Kontrollkarte:,en-de,Environmental Law,"control, definitions"
"The specific agreement shall contain the information referred to in points (a), (b) (c), (d), (e), and (g) of paragraph 1 and, where necessary, point (i) thereof.","Die spezifische Vereinbarung enthält die in Absatz 1 Buchstaben a), b) c), d), e), g) und erforderlichenfalls i) genannten Informationen.",en-de,Contract Law,"information, agreement"
Aid shall be granted for the products listed in Article 1.,Die Beihilfe wird für die in Artikel 1 genannten Erzeugnisse gewährt.,en-de,Legal Theory & Latin Terms,"listed, article"
The arbitrators shall be well-qualified governmental or non-governmental experts in either international trade law or policy whose impartiality is beyond doubt.,"Dabei muss es sich um qualifizierte Regierungs- oder Nichtregierungssachverständige im internationalen Handelsrecht oder der internationalen Handelspolitik handeln, deren Unparteilichkeit über jeden Zweifel erhaben ist.",en-de,International Law,"law, policy"
"the expenditure conforms to the applicable provisions, in particular those of the constituent instrument, the financial rules of each Community body and all acts adopted pursuant to them;","der Übereinstimmung der Ausgabe mit den geltenden Bestimmungen, insbesondere dem Gründungsakt, der Finanzregelung einer jeden Gemeinschaftseinrichtung sowie allen in Durchführung der Finanzregelung erlassenen Rechtsakten;",en-de,Administrative Law,"rules, instrument"
"specific conditions which amplify, supplement or derogate from the general conditions;","Besondere Bedingungen, in denen Einzelheiten geregelt, die Allgemeinen Bedingungen ergänzt oder Ausnahmeregelungen festgelegt werden;",en-de,Contract Law,
The Transmission protocol shall be compliant with ISO/IEC 7816-3.,Das Übertragungsprotokoll entspricht den Festlegungen von ISO/IEC 7816-3.,en-de,Legal Theory & Latin Terms,protocol
"in paragraph 2, second subparagraph, the words ""or other servants"" are inserted after ""husband and wife who are officials"";","In Absatz 2 Unterabsatz 2 werden nach dem Wort ""Beamte"" die Worte ""oder sonstige Bedienstete"" eingefügt.",en-de,Administrative Law,
The appropriate way to make this information available is to publish a prospectus.,Die geeignete Form zur Bereitstellung dieser Informationen ist die Veröffentlichung eines Prospekts.,en-de,Securities & Corporate Law,"information, make, prospectus, publish"
The purpose of the alcoholic extraction is to eliminate the insoluble and inorganic ingredients of the commercial product which in some circumstances might upset the biodegradability test.,"Zweck der Extraktion ist die Entfernung unlöslicher und anorganischer Bestandteile des kommerziellen Produkts, die den Test der biologischen Abbaubarkeit stören könnten.",en-de,Administrative Law,
"Subject to its possible conclusion at a later date, the Agreement should be signed on behalf of the Community.",Vorbehaltlich seines möglichen späteren Abschlusses sollte das Abkommen im Namen der Europäischen Gemeinschaft unterzeichnet werden.,en-de,Contract Law,"conclusion, agreement"
A greater volume of isopropanol is needed when the MBAS content of the commercial product greatly exceeds 10 % or if on stirring there is a rapid separation of the isopropanol and aqueous phases.,"Größere Mengen Isopropanol sind erforderlich, wenn der Gehalt an MBAS der Handelsware 10 % weit überschreitet oder wenn man beim Schütteln eine schnelle Trennung der beiden Phasen feststellt.",en-de,Family Law & Estates/Trusts,separation
"ARTICLES REMAINING IN THE POSSESSION OF INSTITUTIONS OR ORGANIZATIONS WHICH CEASE TO FULFIL THE CONDITIONS GIVING ENTITLEMENT TO RELIEF SHALL BE LIABLE TO THE RELEVANT IMPORT DUTIES AT THE RATE APPLYING ON THE DATE ON WHICH THOSE CONDITIONS CEASE TO BE FULFILLED , ON THE BASIS OF THE TYPE OF GOODS AND THE CUSTOMS VALUE ASCERTAINED OR ACCEPTED ON THAT DATE BY THE COMPETENT AUTHORITIES.","AUF GEGENSTÄNDE , DIE IM BESITZ VON EINRICHTUNGEN ODER ORGANISATIONEN BLEIBEN , DIE NICHT MEHR DIE VORAUSSETZUNGEN FÜR DIE ZOLLBEFREIUNG ERFÜLLEN , WERDEN DIE ENTSPRECHENDEN EINGANGSABGABEN ERHOBEN , UND ZWAR ZU DEM SATZ , DER ZU DEM ZEITPUNKT GILT , ZU DEM DIESE VORAUSSETZUNGEN NICHT MEHR ERFÜLLT WERDEN , UN NACH DER BESCHAFFENHEIT UND DEM ZOLLWERT , DIE ZU DIESEM ZEITPUNKT VON DEN ZUSTÄNDIGEN BEHÖRDEN FESTGESTELLT ODER ANERKANNT WERDEN.",en-de,Contract Law,"relief, liable, goods, possession, value, ascertained, competent, relevant"
for all staff matters;,alle Personalangelegenheiten;,en-de,Administrative Law,
"The period of time for which such data may be held in such files shall be governed by national law.""","Die Frist für die Aufbewahrung der Daten in diesen Dateien wird durch einzelstaatliche Rechtsvorschriften geregelt.""",en-de,Administrative Law,"law, held"
"WALL CHARTS DESIGNED SOLELY FOR DEMONSTRATION AND EDUCATION * ALL ORGANIZATIONS (INCLUDING BORADCASTING AND TELEVISION ORGANIZATIONS) , INSTITUTIONS OR ASSOCIATIONS APPROVED BY THE COMPETENT AUTHORITIES OF THE MEMBER STATES FOR THE PURPOSE OF DUTY-FREE ADMISSION OF THESE GOODS","WANDBILDER , AUSSCHLIESSLICH ZU VORFÜHR - UND UNTERRICHTSZWECKEN * ALLE ORGANISATIONEN (EINSCHLIESSLICH RUNDFUNK - UND FERNSEHANSTALTEN) , EINRICHTUNGEN ODER VERBÄNDE , DIE VON DEN ZUSTÄNDIGEN BEHÖRDEN DER MITGLIEDSTAATEN ZUR ZOLLFREIEN EINFUHR DIESER GEGENSTÄNDE ERMÄCHTIGT WORDEN SIND",en-de,Administrative Law,"education, admission, member, goods, competent, duty"
Pig iron (including hot metal) and ferro-alloys;,Roheisen (einschließlich Flüssigroheisen) und Ferrolegierungen;,en-de,Administrative Law,
"By way of derogation from the second paragraph of Article 56a and the second paragraph of Article 56b, and only in exceptional cases because of the requirements of the service, safety regulations or national or international obligations, the Appointing Authority shall designate the officials covered by Article 92 who shall be entitled to benefit from the provisions of these Articles."";","Abweichend von Artikel 56a Absatz 2 und Artikel 56b Absatz 2 und lediglich in Ausnahmefällen auf Grund von dienstlichen Erfordernissen, von Sicherheitsvorschriften oder von nationalen oder internationalen Verpflichtungen bezeichnet die Anstellungsbehörde die unter Artikel 92 fallenden Beamten, auf die die Bestimmungen dieser Artikel angewandt werden können.""",en-de,Administrative Law,"service, article, benefit, authority"
