legal_term,category
state's attorney,Legal Theory & Latin Terms
statehood (international law),International Law
statement of change in equity,Legal Theory & Latin Terms
status,Legal Theory & Latin Terms
status conference,Legal Theory & Latin Terms
statute,Contract Law
statute of frauds,Contract Law
statute of limitations,Legal Theory & Latin Terms
statute of repose,Legal Theory & Latin Terms
statutory construction,Legal Theory & Latin Terms
statutory damages,Contract Law
statutory interpretation,Legal Theory & Latin Terms
statutory lien,Contract Law
statutory offer of settlement,Contract Law
statutory rape,Criminal Law & Procedure
statutory share,Legal Theory & Latin Terms
statutory subject matter,Legal Theory & Latin Terms
stay,Civil Procedure & Litigation
stay of execution,Criminal Law & Procedure
stay of proceedings,Bankruptcy Law
stayaway order,Civil Procedure & Litigation
stepchild,Family Law & Estates/Trusts
stepparent,Legal Theory & Latin Terms
stepparent adoption,Family Law & Estates/Trusts
stepped-up basis,Legal Theory & Latin Terms
stipulate,Intellectual Property (IP)
stipulation,Intellectual Property (IP)
stirpes,Legal Theory & Latin Terms
stock,Securities & Corporate Law
stock certificate,Tax & Financial Regulation
stock dividend,Securities & Corporate Law
stock in trade,Tax & Financial Regulation
stock option,Tax & Financial Regulation
stock purchase agreement,Contract Law
stockholder,Securities & Corporate Law
stockholder's derivative action,Securities & Corporate Law
stop and frisk,Legal Theory & Latin Terms
storage lien,Contract Law
straight-line depreciation,Tax & Financial Regulation
straw man,Legal Theory & Latin Terms
street,Legal Theory & Latin Terms
strict construction,Legal Theory & Latin Terms
strict liability,Torts
strict scrutiny,Legal Theory & Latin Terms
strike,Employment & Labor Law
strikers,Employment & Labor Law
structure,Legal Theory & Latin Terms
sua sponte,Legal Theory & Latin Terms
Subchapter S corporation,Securities & Corporate Law
subcontractor,Contract Law
subject matter jurisdiction,Civil Procedure & Litigation
subject to a condition subsequent,Contract Law
subject to open,Legal Theory & Latin Terms
subject to partial divestment,Legal Theory & Latin Terms
subjects of international law,International Law
sublease,Property & Real Estate Law
submit,Legal Theory & Latin Terms
subordination,Legal Theory & Latin Terms
subordination agreement,Contract Law
subornation of perjury,Legal Theory & Latin Terms
subpena (subpoena),Civil Procedure & Litigation
subpena duces tecum,Legal Theory & Latin Terms
subpoena,Civil Procedure & Litigation
subpoena duces tecum,Civil Procedure & Litigation
subprime loan,Legal Theory & Latin Terms
subprime mortgage,Property & Real Estate Law
subrogation,Legal Theory & Latin Terms
subrogee,Legal Theory & Latin Terms
subrogor,Legal Theory & Latin Terms
subscribe,Legal Theory & Latin Terms
subscribing witness,Criminal Law & Procedure
subsequent remedial measures,Legal Theory & Latin Terms
subsidiary,Legal Theory & Latin Terms
substantial evidence,Evidence Law
substantial factor test,Legal Theory & Latin Terms
substantial impairment,Legal Theory & Latin Terms
substantial performance,Contract Law
substantive due process,Constitutional Law
substantive law,Legal Theory & Latin Terms
substituted service,Immigration & Naturalization Law
substitution,Legal Theory & Latin Terms
substitution of attorney,Legal Theory & Latin Terms
substitution of parties,Legal Theory & Latin Terms
subsume,Legal Theory & Latin Terms
subtenant,Property & Real Estate Law
success billing,Legal Theory & Latin Terms
succession,Legal Theory & Latin Terms
successive sentences,Criminal Law & Procedure
successor trustee,Family Law & Estates/Trusts
suffering,Torts
sufficient cause,Legal Theory & Latin Terms
suffrage,Legal Theory & Latin Terms
sui generis,Legal Theory & Latin Terms
suicide,Legal Theory & Latin Terms
suicide clause,Legal Theory & Latin Terms
suit,Civil Procedure & Litigation
Suitability Rule,Administrative Law
sum certain,Legal Theory & Latin Terms
summary adjudication,Administrative Law
summary judgment,Civil Procedure & Litigation
summary probate,Family Law & Estates/Trusts
summation,Legal Theory & Latin Terms
summons,Civil Procedure & Litigation
sunset law,Legal Theory & Latin Terms
sunshine laws,Legal Theory & Latin Terms
Superfund,Environmental Law
superior court,Civil Procedure & Litigation
supernumerary witness,Criminal Law & Procedure
supersedeas,Legal Theory & Latin Terms
superseding cause,Legal Theory & Latin Terms
supervening cause,Legal Theory & Latin Terms
supplemental,Legal Theory & Latin Terms
supplemental jurisdiction,Civil Procedure & Litigation
supplemental needs trust,Family Law & Estates/Trusts
Supplemental Nutrition Assistance Program (SNAP),Legal Theory & Latin Terms
supplemental pleadings,Criminal Law & Procedure
Supplemental Register,Legal Theory & Latin Terms
Supplemental Security Income,Tax & Financial Regulation
Supplemental Security Income (SSI),Tax & Financial Regulation
supplier's lien,Contract Law
Support Our Law Enforcement and Safe Neighborhoods Act of 2010,Family Law & Estates/Trusts
support trust,Family Law & Estates/Trusts
suppression,Legal Theory & Latin Terms
suppression of evidence,Evidence Law
supra,Legal Theory & Latin Terms
Supremacy Clause,Constitutional Law
supreme court,Appellate & Supreme Court
surcharge,Legal Theory & Latin Terms
surety,Legal Theory & Latin Terms
surety bond,Criminal Law & Procedure
surplusage,Legal Theory & Latin Terms
surrebuttal,Legal Theory & Latin Terms
surrejoinder,Legal Theory & Latin Terms
surrender value,Legal Theory & Latin Terms
surrogate,Legal Theory & Latin Terms
surrogate court,Civil Procedure & Litigation
surveillance,Legal Theory & Latin Terms
surveillance pricing,Legal Theory & Latin Terms
surviving spouse,Legal Theory & Latin Terms
surviving spouse's trust,Family Law & Estates/Trusts
survivor,Legal Theory & Latin Terms
survivors benefits,Legal Theory & Latin Terms
survivorship,Intellectual Property (IP)
suspect,Legal Theory & Latin Terms
suspect classification,Legal Theory & Latin Terms
suspended sentence,Criminal Law & Procedure
suspension of deportation,Tax & Financial Regulation
sustain,Legal Theory & Latin Terms
swear,Legal Theory & Latin Terms
swearing match,Legal Theory & Latin Terms
sweat equity,Legal Theory & Latin Terms
swift witness,Criminal Law & Procedure
swindle,Legal Theory & Latin Terms
syndicate,Legal Theory & Latin Terms
synthetic cannabinoids,Legal Theory & Latin Terms
tainted evidence,Evidence Law
take,Contract Law
takeover,Securities & Corporate Law
takers in default,Contract Law
taking,Legal Theory & Latin Terms
taking against the will,Family Law & Estates/Trusts
taking of hostages,Legal Theory & Latin Terms
taking the Fifth,Legal Theory & Latin Terms
takings,Legal Theory & Latin Terms
tangible employment action,Employment & Labor Law
tangible personal property,Property & Real Estate Law
target witness,Criminal Law & Procedure
tariff,Legal Theory & Latin Terms
tariff engineering,Legal Theory & Latin Terms
tax,Tax & Financial Regulation
tax attorney,Tax & Financial Regulation
tax auditor,Tax & Financial Regulation
tax basis,Tax & Financial Regulation
tax bracket,Tax & Financial Regulation
tax costs,Tax & Financial Regulation
tax court,Civil Procedure & Litigation
tax credit,Tax & Financial Regulation
Tax Cuts and Jobs Act of 2017 (TCJA),Tax & Financial Regulation
tax deduction,Tax & Financial Regulation
tax evasion,Tax & Financial Regulation
tax examiner,Tax & Financial Regulation
tax fraud,Criminal Law & Procedure
tax liability,Contract Law
tax lien,Contract Law
tax lien notice,Contract Law
tax optimization,Tax & Financial Regulation
tax planning,Tax & Financial Regulation
tax registration certificate,Tax & Financial Regulation
tax return,Tax & Financial Regulation
tax sale,Tax & Financial Regulation
tax shelter,Tax & Financial Regulation
tax withholding,Tax & Financial Regulation
tax-deferred exchange,Tax & Financial Regulation
tax-exempt income,Tax & Financial Regulation
taxable income,Tax & Financial Regulation
taxing power,Tax & Financial Regulation
taxpayer bill of rights,Constitutional Law
taxpayer identification number (TIN),Tax & Financial Regulation
temporary injunction,Civil Procedure & Litigation
temporary insanity,Legal Theory & Latin Terms
Temporary Protected Status (TPS),Legal Theory & Latin Terms
temporary receivership,Intellectual Property (IP)
temporary restraining order,Civil Procedure & Litigation
temporary restraining order (TRO),Civil Procedure & Litigation
tenancy,Property & Real Estate Law
tenancy at sufferance,Legal Theory & Latin Terms
tenancy at will,Family Law & Estates/Trusts
tenancy by the entireties,Legal Theory & Latin Terms
tenancy by the entirety,Legal Theory & Latin Terms
tenancy for years,Legal Theory & Latin Terms
tenancy in common,Property & Real Estate Law
tenant,Property & Real Estate Law
tenants in common,Property & Real Estate Law
tender,Securities & Corporate Law
tender back rule,Administrative Law
tender offer,Securities & Corporate Law
tenement,Legal Theory & Latin Terms
tentative trust,Family Law & Estates/Trusts
tenure,Legal Theory & Latin Terms
term,Contract Law
term life insurance,Legal Theory & Latin Terms
term of years,Legal Theory & Latin Terms
termination,Contract Law
terra nullius,Legal Theory & Latin Terms
territorial jurisdiction,Civil Procedure & Litigation
terrorem clause,Legal Theory & Latin Terms
terrorism,Legal Theory & Latin Terms
Terry stop / stop and frisk,Legal Theory & Latin Terms
test,Family Law & Estates/Trusts
test case,Legal Theory & Latin Terms
testacy,Family Law & Estates/Trusts
testamentary,Family Law & Estates/Trusts
testamentary capacity,Family Law & Estates/Trusts
testamentary disposition,Family Law & Estates/Trusts
testamentary power of appointment,Family Law & Estates/Trusts
testamentary trust,Family Law & Estates/Trusts
testate,Family Law & Estates/Trusts
testate succession,Family Law & Estates/Trusts
testator,Family Law & Estates/Trusts
testatrix,Legal Theory & Latin Terms
testify,Legal Theory & Latin Terms
testimony,Evidence Law
testing-the-waters,Legal Theory & Latin Terms
Texas v. Johnson (1989),Legal Theory & Latin Terms
textualism,Legal Theory & Latin Terms
TFRP,Legal Theory & Latin Terms
The Bluebook,Legal Theory & Latin Terms
theft,Criminal Law & Procedure
thereafter,Legal Theory & Latin Terms
thereinafter,Legal Theory & Latin Terms
things in action,Legal Theory & Latin Terms
Third Amendment,Constitutional Law
third party,Contract Law
third party beneficiary,Contract Law
third-degree instruction,Legal Theory & Latin Terms
third-party beneficiary,Family Law & Estates/Trusts
third-party trust,Family Law & Estates/Trusts
three strikes,Employment & Labor Law
three-day notice,Immigration & Naturalization Law
three-of-five test,Legal Theory & Latin Terms
tidelands,Property & Real Estate Law
TILA,International Law
time is of the essence,Legal Theory & Latin Terms
time served,Legal Theory & Latin Terms
timely,Legal Theory & Latin Terms
Tinker v. Des Moines,Legal Theory & Latin Terms
title,Property & Real Estate Law
title (legislation),Property & Real Estate Law
title (property),Property & Real Estate Law
title abstract,Property & Real Estate Law
title company,Property & Real Estate Law
title insurance,Property & Real Estate Law
Title IX,Property & Real Estate Law
title report,Property & Real Estate Law
title search,Property & Real Estate Law
Title VII,Employment & Labor Law
Title X,Property & Real Estate Law
to wit,Legal Theory & Latin Terms
TOD,Family Law & Estates/Trusts
TOD deed,Property & Real Estate Law
toll,Legal Theory & Latin Terms
tontine,Legal Theory & Latin Terms
too big to fail,Legal Theory & Latin Terms
tools of the trade,Legal Theory & Latin Terms
tort,Torts
tort claims act,Torts
tortfeasor,Torts
tortious,Torts
tortious interference,Torts
torture,Torts
totality of circumstances,Legal Theory & Latin Terms
Totten trust,Family Law & Estates/Trusts
toxic mold,Legal Theory & Latin Terms
toxic tort,Torts
trade dress,Legal Theory & Latin Terms
trade fixture,Property & Real Estate Law
trade name,Legal Theory & Latin Terms
trade regulation,Tax & Financial Regulation
trade secret,Intellectual Property (IP)
trademark,Intellectual Property (IP)
trademark infringement,Intellectual Property (IP)
trademark owner,Intellectual Property (IP)
trademark registration,Intellectual Property (IP)
trademark search,Intellectual Property (IP)
trafficking,Legal Theory & Latin Terms
transaction,Legal Theory & Latin Terms
transcarceration,Legal Theory & Latin Terms
transcript,Intellectual Property (IP)
transfer,Tax & Financial Regulation
transfer agent,Legal Theory & Latin Terms
transfer in contemplation of death,Legal Theory & Latin Terms
transfer-on-death (TOD),Legal Theory & Latin Terms
transfer-on-death deed,Property & Real Estate Law
transferred intent,Legal Theory & Latin Terms
transgender,Legal Theory & Latin Terms
transinstitutionalization,Legal Theory & Latin Terms
Transmission Control Protocol (TCP),Legal Theory & Latin Terms
transmittal letter,Legal Theory & Latin Terms
transsexual,Legal Theory & Latin Terms
trap and trace device,Immigration & Naturalization Law
treason,Legal Theory & Latin Terms
treasure trove,Legal Theory & Latin Terms
treasury bill,Legal Theory & Latin Terms
