source,target,language_pair,Legal_Category
The decision setting up an imprest account and appointing an imprest administrator and the decision amending the operating terms for an imprest account shall specify in particular:,In dem Beschluss über die Einrichtung einer Zahlstelle und die Benennung eines Zahlstellenverwalters sowie in dem Beschluss zur Änderung der Funktionsweise einer Zahlstelle ist insbesondere Folgendes festgelegt:,en-de,Contract Law
"At the time of the registration of the members of the family of unemployed persons drawing benefits under Article 69 (1) of the Regulation, the certified statement referred to in Article 26 (1) of the Implementing Regulation must be produced.","ARTIKEL 17 DER DURCHFÜHRUNGSVERORDNUNG GILT FÜR DIE GEWÄHRUNG VON SACHLEISTUNGEN FÜR FAMILIENANGEHÖRIGE VON ARBEITSLOSEN , WENN DIE FAMILIENANGEHÖRIGEN IHREN WOHNORT IM GEBIET EINES ANDEREN MITGLIEDSTAATS ALS DES ZUSTÄNDIGEN STAATES HABEN , ENTSPRECHEND.",en-de,Family Law
"the leak protection between the cylinder head and the cylinder still holds when the cylinder head nuts are cold-tightened at one-third of the nominal torque prescribed by the manufacturer, or: the area where the cylinder head is joined to the cylinder is situated outside the heating air circuit.","die Abdichtung zwischen dem Zylinderkopf und dem Zylinder ist ferner gewährleistet , wenn die Befestigungsmuttern des Zylinderkopfes am kalten Motor mit 1/3 des vom Hersteller vorgeschriebenen Nenndrehmoments angezogen sind , oder : die Verbindungsstelle des Zylinderkopfs mit dem Zylinder liegt ausserhalb des Heizluftkreislaufs.",en-de,General Legal
"Member States shall bring into force the laws, regulations and administrative provisions necessary to comply with this Directive not later than 12 October 2004.","Die Mitgliedstaaten setzen die erforderlichen Rechts- und Verwaltungsvorschriften in Kraft, um der Richtlinie bis zum 12. Oktober 2004 nachzukommen.",en-de,Administrative Law
"The certificate shall have a validity of ten years from the date of its issue, and may be renewed for subsequent periods of ten years each.",Die Bescheinigung ist zehn Jahre ab ihrem Ausstellungsdatum gültig und kann danach jeweils für weitere zehn Jahre verlängert werden.,en-de,General Legal
"An enterprise determines the discount rate and other financial assumptions in nominal (stated) terms, unless estimates in real (inflation-adjusted) terms are more reliable, for example, in a hyperinflationary economy (see IAS 29, financial reporting in hyperinflationary economies), or where the benefit is index-linked and there is a deep market in index-linked bonds of the same currency and term.","Die Annahmen zum Zinssatz für die Abzinsung und andere finanzielle Annahmen werden vom Unternehmen mit nominalen (nominal festgesetzten) Werten festgelegt, es sei denn, Schätzungen auf Basis realer (inflationsbereinigter) Werte sind verlässlicher, wie z. B. in einer hochinflationären Volkswirtschaft (siehe IAS 29, Rechnungslegung in Hochinflationsländern) oder in jenen Fällen, in denen die Leistung an einen Index gekoppelt ist und zugleich ein hinreichend entwickelter Markt für indexgebundene Anleihen in der gleichen Währung und mit gleicher Laufzeit vorhanden ist.",en-de,Contract Law
"As Regulation (EEC, Euratom, ECSC) No 2290/77(3) makes applicable to the Members of the Court of Auditors by analogy a number of provisions of the abovementioned Staff Regulations, the said Regulation should therefore be amended accordingly,","Da nach der Verordnung (EWG, Euratom, EGKS) Nr. 2290/77(3) eine Reihe von Bestimmungen des genannten Statuts sinngemäß auf die Mitglieder des Rechnungshofs Anwendung finden, ist es angezeigt, jene Verordnung entsprechend zu ändern -",en-de,Administrative Law
"In all cases, subject to the special provisions for each class and the tolerances allowed, the bulbs must be:",In allen Klassen müssen die Zwiebeln unter Berücksichtigung der besonderen Bestimmungen für jede Klasse und der zulässigen Toleranzen wie folgt beschaffen sein:,en-de,General Legal
the whole coastline of Ireland.,Die gesamte Küstenlinie Irlands.,en-de,General Legal
"All other port facility personnel should have knowledge of and be familiar with relevant provisions of the port facility security plan in some or all of the following, as appropriate:.",Alle anderen Mitglieder des Personals der Hafenanlage sollen je nach Sachlage in einigen der folgenden Bereiche oder in allen folgenden Bereichen über Kenntnisse der einschlägigen Bestimmungen des Plans zur Gefahrenabwehr in der Hafenanlage verfügen und mit ihnen vertraut sein:.,en-de,General Legal
Arrangements shall also be made to ensure that such public areas may be closed at short notice in the event of an increase in threat.,Für den Fall einer Verschärfung der Bedrohungslage sind Vorkehrungen für eine kurzfristige Schließung solcher öffentlichen Bereiche zu treffen.,en-de,General Legal
"The report shall, as appropriate, be accompanied by proposals for revision of the relevant provisions of this Directive.",Dem Bericht sind gegebenenfalls Vorschläge für eine Änderung der entsprechenden Bestimmungen dieser Richtlinie beizufügen.,en-de,General Legal
'C' Cantabria,'C' Cantabria,en-de,General Legal
"Unemployment benefits under Article 69(1) shall not be granted for the period during which cash benefits are received.""","Leistungen bei Arbeitslosigkeit nach Artikel 69 Absatz 1 werden während des Bezugs der Geldleistungen nicht gewährt.""",en-de,Constitutional Law
"Category M3 : Vehicles used for the carriage of passengers, comprising more than eight seats in addition to the driver's seat, and having a maximum weight exceeding 5 metric tons.",Klasse M3 : Fahrzeuge für Personenbeförderung mit mehr als 8 Sitzplätzen außer dem Fahrersitz und einem Höchstgewicht üb t.,en-de,General Legal
"When the net remuneration of an official who has been promoted to grade 7, as a consequence of the abolition of the fixed allowance, is lower than the net remuneration he received, all other conditions being unchanged, in the last month before the promotion, he shall be entitled to a compensatory allowance equal to the difference until his advancement to the next higher step in grade.","Sind nach der Beförderung des Beamten in die Besoldungsgruppe 7 bei ansonsten gleich bleibenden Bedingungen seine Nettobezüge infolge der Streichung der Pauschalzulage niedriger als seine Nettobezüge im letzten Monat vor der Beförderung, so hat er bis zum Aufsteigen in die nächsthöhere Dienstaltersstufe Anspruch auf eine Ausgleichszulage in Höhe der Differenz.",en-de,General Legal
"The Joint Undertaking shall ensure that the contract provides for the right of the Commission to carry out, on behalf of the Joint Undertaking, controls in order to ensure that the financial interests of the Community are protected and, in the event of the detection of irregularities, to impose dissuasive and proportionate penalties.","Das gemeinsame Unternehmen sorgt dafür, dass in dem Vertrag der Kommission das Recht eingeräumt wird, in seinem Namen Kontrollen durchzuführen, um den Schutz der finanziellen Interessen der Gemeinschaft zu gewährleisten, und abschreckende und verhältnismäßige Sanktionen zu verhängen, wenn Unregelmäßigkeiten festgestellt werden.",en-de,Contract Law
"exchange differences arising on the translation of the financial statements of a foreign entity (see IAS 21, the effects of changes in foreign exchange rates);","Währungsdifferenzen infolge einer Umrechnung des Abschlusses einer wirtschaftlich selbständigen ausländischen Einheit (siehe IAS 21, Auswirkungen von Änderungen der Wechselkurse);",en-de,General Legal
Provisions,Rückstellungen,en-de,General Legal
"Without prejudice to Articles 12 and 17, an official who intends to publish or cause to be published, whether alone or with others, any matter dealing with the work of the Communities shall inform the Appointing Authority in advance.","Der Beamte, der die Absicht hat, eine Angelegenheit, die die Arbeit der Gemeinschaften betrifft, der Öffentlichkeit bekannt zu machen oder bekannt machen zu lassen, unterrichtet unbeschadet der Artikel 12 und 17 hierüber zuvor die Anstellungsbehörde.",en-de,Administrative Law
"Regulated markets may give access, on reasonable commercial terms and on a non-discriminatory basis, to the arrangements they employ for making public the information under the first subparagraph to investment firms which are obliged to publish their quotes in shares pursuant to Article 27.","Geregelte Märkte können Wertpapierfirmen, die ihre Aktienkurse gemäß Artikel 27 veröffentlichen müssen, zu angemessenen kaufmännischen Bedingungen und in nichtdiskriminierender Weise Zugang zu den Systemen geben, die sie für die Veröffentlichung der Informationen nach Unter-absatz 1 verwenden.",en-de,Contract Law
Regulation (EC) No 2535/2001 should therefore be amended and derogated from.,"Es empfiehlt sich daher, die Verordnung (EG) Nr. 2535/2001 entsprechend zu ändern und von ihr abzuweichen.",en-de,Administrative Law
Botrytis cinerea,Botrytis cinerea,en-de,General Legal
ANNUAL REPORTS,JAHRESBERICHTE,en-de,General Legal
Special characters,Sonderzeichen,en-de,General Legal
"Each Member State shall grant the right of permanent residence to nationals of other Member States who establish themselves within its territory in order to pursue activities as self-employed persons, when the restrictions on these activities have been abolished pursuant to the Treaty.","Jeder Mitgliedstaat gewährt den Staatsangehörigen der anderen Mitgliedstaaten, die sich in seinem Hoheitsgebiet niederlassen, um dort eine selbständige Tätigkeit auszuüben, ein Recht auf unbefristeten Aufenthalt, wenn die Beschränkungen für die betreffende Tätigkeit auf Grund des Vertrages aufgehoben worden sind.",en-de,General Legal
Import licences shall be valid only for products originating in the OCT shown in that section;,Die Einfuhrlizenz gilt nur für Erzeugnisse mit Ursprung in dem in diesem Feld angegebenen ÜLG.,en-de,General Legal
The location of land and buildings is defined by the area in which these assets are situated.,"Mit der Lage von Grundstücken und Bauten ist das geografische Gebiet gemeint, in dem sie sich befinden.",en-de,Property Law
